Rank,Song,Artist,Last_Week,Peak_Position,Weeks_on_Chart,Date
3,A Bar Song (Tipsy),Shaboozey,4,3,4,2024-05-25
4,Not Like Us,Kendrick Lamar,9,4,2,2024-05-25
5,Like That!,Laila!,3,3,6,2024-05-25
6,Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti",NEW,6,1,2024-05-25
7,"Not A Lot, Just Forever",Adrianne Lenker,30,7,2,2024-05-25
8,Gata Only,FloyyMenor X Cris Mj,6,5,11,2024-05-25
9,Fried (She A Vibe),Future & Metro Boomin,NEW,9,1,2024-05-25
10,Scott Street,Phoebe Bridgers,8,5,4,2024-05-25
11,Pedro,"Jaxomy, Agatino Romero & Raffaella Carra",5,5,5,2024-05-25
12,Nasty,Tinashe,NEW,12,1,2024-05-25
13,Blue,Billie Eilish,NEW,13,1,2024-05-25
14,Talk My Shit,BossMan Dlow,18,5,7,2024-05-25
15,I Like The Way You Kiss Me,Artemas,10,2,8,2024-05-25
16,Slay!,Eternxlkz,40,16,4,2024-05-25
17,Get It Sexyy,Sexyy Red,13,5,10,2024-05-25
18,Si No Quieres No,Luis R Conriquez x Neton Vega,23,18,5,2024-05-25
19,Symphonia IX,Current Joys,21,19,2,2024-05-25
20,Hell N Back,Bakar Featuring Summer Walker,12,2,9,2024-05-25
21,Lady Killers II (Christoph Andersson Remix),G-Eazy,15,2,9,2024-05-25
22,Fantasmas,HUMBE,RE-ENTRY,22,4,2024-05-25
23,"San Sanana (Ffom ""Asoka"")",Alka Yagnik,NEW,23,1,2024-05-25
24,Slow Dancing In The Dark,Joji,NEW,24,1,2024-05-25
25,Hide Away,Daya,7,7,7,2024-05-25
26,BK Back,Baby Kia,36,26,2,2024-05-25
27,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,29,1,13,2024-05-25
28,Close,Cayo Featuring soser,NEW,28,1,2024-05-25
29,Tengo Un Plan,Key-Key & Ozuna,16,16,4,2024-05-25
30,Anything,Adrianne Lenker,24,8,10,2024-05-25
31,Scars,Novulent,14,14,3,2024-05-25
32,I Bet On Losing Dogs,Mitski,17,14,4,2024-05-25
33,Wind Up Missin' You,Tucker Wetmore,28,15,5,2024-05-25
34,End Of Beginning,Djo,26,1,14,2024-05-25
35,Dance You Outta My Head,Cat Janice,34,1,16,2024-05-25
36,The Chicken In Black,Johnny Cash,11,6,3,2024-05-25
37,Dirt Cheap,Cody Johnson,NEW,37,1,2024-05-25
38,Come And Get Your Love,Redbone,27,8,6,2024-05-25
39,Pretty Brown,Shaun Wiah,NEW,39,1,2024-05-25
40,Beautiful Things,Benson Boone,32,2,16,2024-05-25
41,Who's Afraid Of Little Old Me?,Taylor Swift,20,4,4,2024-05-25
42,My Love Mine All Mine,Mitski,44,1,33,2024-05-25
43,Espresso,Sabrina Carpenter,NEW,43,1,2024-05-25
44,Godspeed,Frank Ocean,NEW,44,1,2024-05-25
45,I Still Think About You,Sweet Boy,NEW,45,1,2024-05-25
46,Fall Back,Lithe,NEW,46,1,2024-05-25
47,Poison Tree,Grouper,46,30,4,2024-05-25
48,Hind's Hall,Macklemore,NEW,48,1,2024-05-25
49,Chihiro,Billie Eilish,NEW,49,1,2024-05-25
50,Highway,Elusin,NEW,50,1,2024-05-25
1,Million Dollar Baby,Tommy Richman,1,1,4,2024-06-01
2,Not Like Us,Kendrick Lamar,4,2,3,2024-06-01
3,Birds Of A Feather,Billie Eilish,NEW,3,1,2024-06-01
4,Tell Ur Girlfriend,Lay Bankz,2,1,7,2024-06-01
5,Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti",6,5,2,2024-06-01
6,A Bar Song (Tipsy),Shaboozey,3,3,5,2024-06-01
7,Nasty,Tinashe,12,7,2,2024-06-01
8,Gata Only,FloyyMenor X Cris Mj,8,5,12,2024-06-01
9,Close,Cayo Featuring soser,28,9,2,2024-06-01
10,Si No Quieres No,Luis R Conriquez x Neton Vega,18,10,6,2024-06-01
11,Fall Back,Lithe,46,11,2,2024-06-01
12,Scott Street,Phoebe Bridgers,10,5,5,2024-06-01
13,Lunch,Billie Eilish,NEW,13,1,2024-06-01
14,Fried (She A Vibe),Future & Metro Boomin,9,9,2,2024-06-01
15,Subwoofer Lullaby,C418,NEW,15,1,2024-06-01
16,Symphonia IX,Current Joys,19,16,3,2024-06-01
17,Espresso,Sabrina Carpenter,43,17,2,2024-06-01
18,So Silly (Remix),GloRilla,NEW,18,1,2024-06-01
19,Blue,Billie Eilish,13,13,2,2024-06-01
20,I Like The Way You Kiss Me,Artemas,15,2,9,2024-06-01
21,Pedro,"Jaxomy, Agatino Romero & Raffaella Carra",11,5,6,2024-06-01
22,Talk My Shit,BossMan Dlow,14,5,8,2024-06-01
23,Lady Killers II (Christoph Andersson Remix),G-Eazy,21,2,10,2024-06-01
24,Get It Sexyy,Sexyy Red,17,5,11,2024-06-01
25,Slut Me Out 2,NLE Choppa,NEW,25,1,2024-06-01
26,Half Return,Adrianne Lenker,NEW,26,1,2024-06-01
27,Wildflower,Billie Eilish,NEW,27,1,2024-06-01
28,Back It Up And Dump It (Dump Truck),"Kinfolk Thugs, GC Eternal & Tyme Bomb",RE-ENTRY,4,15,2024-06-01
29,Slay!,Eternxlkz,16,16,5,2024-06-01
30,Pink Skies,Zach Bryan Featuring Watchouse,NEW,30,1,2024-06-01
31,"Not A Lot, Just Forever",Adrianne Lenker,7,7,3,2024-06-01
32,Slow Dancing In The Dark,Joji,24,24,2,2024-06-01
33,Lady Killers III,G-Eazy,NEW,33,1,2024-06-01
34,Ghost Town,Kanye West Featuring PARTYNEXTDOOR,NEW,34,1,2024-06-01
35,Fantasmas,HUMBE,22,22,5,2024-06-01
36,Hell N Back,Bakar Featuring Summer Walker,20,2,10,2024-06-01
37,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,27,1,14,2024-06-01
38,Like That!,Laila!,5,3,7,2024-06-01
39,End Of Beginning,Djo,34,1,15,2024-06-01
40,I Still Think About You,Sweet Boy,45,40,2,2024-06-01
41,Crazy,Stephen Kramer Glickman Featuring Marza Wilks,NEW,41,1,2024-06-01
42,My Love Mine All Mine,Mitski,42,1,34,2024-06-01
43,"San Sanana (Ffom ""Asoka"")",Alka Yagnik,23,23,2,2024-06-01
44,Beautiful Things,Benson Boone,40,2,17,2024-06-01
45,BK Back,Baby Kia,26,26,3,2024-06-01
46,Give Me Everything (Stripped Down),Archer Marsh,NEW,46,1,2024-06-01
47,Livin' My Best Life,Dylan Scott,NEW,47,1,2024-06-01
48,Chihiro,Billie Eilish,49,48,2,2024-06-01
49,Dance You Outta My Head,Cat Janice,35,1,17,2024-06-01
50,Okay,JT,NEW,50,1,2024-06-01
1,Million Dollar Baby,Tommy Richman,1,1,5,2024-06-08
2,Tell Ur Girlfriend,Lay Bankz,4,1,8,2024-06-08
3,U My Everything,Sexyy Red & Drake,NEW,3,1,2024-06-08
4,Birds Of A Feather,Billie Eilish,3,3,2,2024-06-08
5,Not Like Us,Kendrick Lamar,2,2,4,2024-06-08
6,Crazy,Stephen Kramer Glickman Featuring Marza Wilks,41,6,2,2024-06-08
7,Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti",5,5,3,2024-06-08
8,BAND4BAND,Central Cee & Lil Baby,NEW,8,1,2024-06-08
9,Si No Quieres No,Luis R Conriquez x Neton Vega,10,9,7,2024-06-08
10,Gata Only,FloyyMenor X Cris Mj,8,5,13,2024-06-08
11,Nasty,Tinashe,7,7,3,2024-06-08
12,Fall Back,Lithe,11,11,3,2024-06-08
13,Scott Street,Phoebe Bridgers,12,5,6,2024-06-08
14,A Bar Song (Tipsy),Shaboozey,6,3,6,2024-06-08
15,Close,Cayo Featuring soser,9,9,3,2024-06-08
16,Pink Skies,Zach Bryan Featuring Watchouse,30,16,2,2024-06-08
17,Sky,Playboi Carti,RE-ENTRY,1,6,2024-06-08
18,Lunch,Billie Eilish,13,13,2,2024-06-08
19,Espresso,Sabrina Carpenter,17,17,3,2024-06-08
20,Fantasmas,HUMBE,35,20,6,2024-06-08
21,I Like The Way You Kiss Me,Artemas,20,2,10,2024-06-08
22,Lady Killers II (Christoph Andersson Remix),G-Eazy,23,2,11,2024-06-08
23,Talk My Shit,BossMan Dlow,22,5,9,2024-06-08
24,Fried (She A Vibe),Future & Metro Boomin,14,9,3,2024-06-08
25,Slut Me Out 2,NLE Choppa,25,25,2,2024-06-08
26,Half Return,Adrianne Lenker,26,26,2,2024-06-08
27,Get It Sexyy,Sexyy Red,24,5,12,2024-06-08
28,Back It Up And Dump It (Dump Truck),"Kinfolk Thugs, GC Eternal & Tyme Bomb",28,4,16,2024-06-08
29,Wash.,Bon Iver,NEW,29,1,2024-06-08
30,Pedro,"Jaxomy, Agatino Romero & Raffaella Carra",21,5,7,2024-06-08
31,Wildflower,Billie Eilish,27,27,2,2024-06-08
32,Blue,Billie Eilish,19,13,3,2024-06-08
33,Okay,JT,50,33,2,2024-06-08
34,Symphonia IX,Current Joys,16,16,4,2024-06-08
35,Take A Slice,Glass Animals,NEW,35,1,2024-06-08
36,Freak Hoe,Speaker Knockerz,NEW,36,1,2024-06-08
37,Livin' My Best Life,Dylan Scott,47,37,2,2024-06-08
38,End Of Beginning,Djo,39,1,16,2024-06-08
39,Porque Te Vas,Victor Cibrian X Gabito Ballesteros,NEW,39,1,2024-06-08
40,Feather,Sabrina Carpenter,NEW,40,1,2024-06-08
41,Space Song,Beach House,RE-ENTRY,19,2,2024-06-08
42,I Bet On Losing Dogs,Mitski,RE-ENTRY,14,5,2024-06-08
43,Dance You Outta My Head,Cat Janice,49,1,18,2024-06-08
44,Like That!,Laila!,38,3,8,2024-06-08
45,Scars,Novulent,RE-ENTRY,14,4,2024-06-08
46,Beautiful Things,Benson Boone,44,2,18,2024-06-08
47,There's Your Trouble,The Chicks,NEW,47,1,2024-06-08
48,Poison Tree,Grouper,RE-ENTRY,30,5,2024-06-08
49,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,37,1,15,2024-06-08
50,Laced Max,LAZER DIM 700,NEW,50,1,2024-06-08
1,Million Dollar Baby,Tommy Richman,1,1,6,2024-06-15
2,U My Everything,Sexyy Red & Drake,3,2,2,2024-06-15
3,Birds Of A Feather,Billie Eilish,4,3,3,2024-06-15
4,Tell Ur Girlfriend,Lay Bankz,2,1,9,2024-06-15
5,Not Like Us,Kendrick Lamar,5,2,5,2024-06-15
6,Rock Your Hips,"310babii, OhGeesy & BlueBucksClan Or & Saweetie",NEW,6,1,2024-06-15
7,Nasty,Tinashe,11,7,4,2024-06-15
8,Gata Only,FloyyMenor X Cris Mj,10,5,14,2024-06-15
9,BAND4BAND,Central Cee & Lil Baby,8,8,2,2024-06-15
10,Please Please Please,Sabrina Carpenter,NEW,10,1,2024-06-15
11,Fake Jammin,Sexyy Red,NEW,11,1,2024-06-15
12,Si No Quieres No,Luis R Conriquez x Neton Vega,9,9,8,2024-06-15
13,Close,Cayo Featuring soser,15,9,4,2024-06-15
14,Scott Street,Phoebe Bridgers,13,5,7,2024-06-15
15,PORSCHE (Slowed Down),NXY0TAR0,NEW,15,1,2024-06-15
16,Houdini,Eminem,NEW,16,1,2024-06-15
17,Crazy,Stephen Kramer Glickman Featuring Marza Wilks,6,6,3,2024-06-15
18,Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti",7,5,4,2024-06-15
19,Espresso,Sabrina Carpenter,19,17,4,2024-06-15
20,A Bar Song (Tipsy),Shaboozey,14,3,7,2024-06-15
21,Pink Skies,Zach Bryan Featuring Watchouse,16,16,3,2024-06-15
22,Lady Killers II (Christoph Andersson Remix),G-Eazy,22,2,12,2024-06-15
23,Wildflower,Billie Eilish,31,23,3,2024-06-15
24,Dont Understand,snowblind & n3wd,NEW,24,1,2024-06-15
25,Okay,JT,33,25,3,2024-06-15
26,Selfharm,Monetochka,NEW,26,1,2024-06-15
27,Girls Just Wanna Have Fun (Sped Up),Chromatics,NEW,27,1,2024-06-15
28,Lunch,Billie Eilish,18,13,3,2024-06-15
29,Tendencia,yagobeats,NEW,29,1,2024-06-15
30,I Like The Way You Kiss Me,Artemas,21,2,11,2024-06-15
31,"Me, Myself & I",G-Eazy x Bebe Rexha,NEW,31,1,2024-06-15
32,Talk My Shit,BossMan Dlow,23,5,10,2024-06-15
33,Symphonia IX,Current Joys,34,16,5,2024-06-15
34,Hate Bein' Sober,Chief Keef Featuring 50 Cent & Wiz Khalifa,NEW,34,1,2024-06-15
35,Kehlani,Jordan Adetunji,NEW,35,1,2024-06-15
36,Get It Sexyy,Sexyy Red,27,5,13,2024-06-15
37,Back It Up And Dump It (Dump Truck),"Kinfolk Thugs, GC Eternal & Tyme Bomb",28,4,17,2024-06-15
38,Killswitch Lullaby,Flawed Mangoes,NEW,38,1,2024-06-15
39,The Smallest Man Who Ever Lived,Taylor Swift,NEW,39,1,2024-06-15
40,Fantasmas,HUMBE,20,20,7,2024-06-15
41,Wanna Be,GloRilla & Megan Thee Stallion,NEW,41,1,2024-06-15
42,Slut Me Out 2,NLE Choppa,25,25,3,2024-06-15
43,Take A Slice,Glass Animals,35,35,2,2024-06-15
44,Snowfall (Sped Up),Oneheart & reidenshi,RE-ENTRY,22,3,2024-06-15
45,Fried (She A Vibe),Future & Metro Boomin,24,9,4,2024-06-15
46,Damn Shorty,Chief Keef & Mike WiLL Made-It Featuring Sexyy Red,RE-ENTRY,46,2,2024-06-15
47,Pedro,"Jaxomy, Agatino Romero & Raffaella Carra",30,5,8,2024-06-15
48,Half Return,Adrianne Lenker,26,26,3,2024-06-15
49,Dance You Outta My Head,Cat Janice,43,1,19,2024-06-15
50,Feather,Sabrina Carpenter,40,40,2,2024-06-15
1,Million Dollar Baby,Tommy Richman,1,1,7,2024-06-22
2,Please Please Please,Sabrina Carpenter,10,2,2,2024-06-22
3,Nasty,Tinashe,7,3,5,2024-06-22
4,Birds Of A Feather,Billie Eilish,3,3,4,2024-06-22
5,U My Everything,Sexyy Red & Drake,2,2,3,2024-06-22
6,Tell Ur Girlfriend,Lay Bankz,4,1,10,2024-06-22
7,Not Like Us,Kendrick Lamar,5,2,6,2024-06-22
8,Gata Only,FloyyMenor X Cris Mj,8,5,15,2024-06-22
9,PORSCHE (Slowed Down),NXY0TAR0,15,9,2,2024-06-22
10,Fake Jammin,Sexyy Red,11,10,2,2024-06-22
11,Si No Quieres No,Luis R Conriquez x Neton Vega,12,9,9,2024-06-22
12,Swimming Pools (Drank) Extended Version,Kendrick Lamar,RE-ENTRY,12,4,2024-06-22
13,Wildflower,Billie Eilish,23,13,4,2024-06-22
14,"Me, Myself & I",G-Eazy x Bebe Rexha,31,14,2,2024-06-22
15,Scott Street,Phoebe Bridgers,14,5,8,2024-06-22
16,Okay,JT,25,16,4,2024-06-22
17,Rock Your Hips,"310babii, OhGeesy & BlueBucksClan Or & Saweetie",6,6,2,2024-06-22
18,Lobster,RJ Pasin,NEW,18,1,2024-06-22
19,Jennifer,Trinidad Cardona,NEW,19,1,2024-06-22
20,Close,Cayo Featuring soser,13,9,5,2024-06-22
21,BAND4BAND,Central Cee & Lil Baby,9,8,3,2024-06-22
22,Killswitch Lullaby,Flawed Mangoes,38,22,2,2024-06-22
23,You Got Me Worse,i don't like mirrors,NEW,23,1,2024-06-22
24,Espresso,Sabrina Carpenter,19,17,5,2024-06-22
25,Kehlani,Jordan Adetunji,35,25,2,2024-06-22
26,Fantasmas,HUMBE,40,20,8,2024-06-22
27,Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti",18,5,5,2024-06-22
28,A Bar Song (Tipsy),Shaboozey,20,3,8,2024-06-22
29,Girls Just Wanna Have Fun (Sped Up),Chromatics,27,27,2,2024-06-22
30,Pink Skies,Zach Bryan Featuring Watchouse,21,16,4,2024-06-22
31,Not-My-Problem,Laila!,NEW,31,1,2024-06-22
32,Get It Sexyy,Sexyy Red,36,5,14,2024-06-22
33,Tendencia,yagobeats,29,29,2,2024-06-22
34,Talk My Shit,BossMan Dlow,32,5,11,2024-06-22
35,Lady Killers II (Christoph Andersson Remix),G-Eazy,22,2,13,2024-06-22
36,A Summer Place,Hollywood Strings Orchestra,NEW,36,1,2024-06-22
37,Mr. Krabs,Pnut2Playa,NEW,37,1,2024-06-22
38,Anything,Adrianne Lenker,RE-ENTRY,8,11,2024-06-22
39,I Like The Way You Kiss Me,Artemas,30,2,12,2024-06-22
40,Sexyy Love Money,Sexyy Red & VonOff1700,NEW,40,1,2024-06-22
41,Lunch,Billie Eilish,28,13,4,2024-06-22
42,Wanna Be,GloRilla & Megan Thee Stallion,41,41,2,2024-06-22
43,Eek!,Surasshu,NEW,43,1,2024-06-22
44,Crazy,Stephen Kramer Glickman Featuring Marza Wilks,17,6,4,2024-06-22
45,Montagem Rave Eterno,dj Samir & Fyex,NEW,45,1,2024-06-22
46,Heat Waves,Glass Animals,NEW,46,1,2024-06-22
47,Houdini,Eminem,16,16,2,2024-06-22
48,High Road,Koe Wetzel & Jessie Murph,NEW,48,1,2024-06-22
49,Pedro,"Jaxomy, Agatino Romero & Raffaella Carra",47,5,9,2024-06-22
50,Symphonia IX,Current Joys,33,16,6,2024-06-22
1,Million Dollar Baby,Tommy Richman,1,1,8,2024-06-29
2,Nasty,Tinashe,3,2,6,2024-06-29
3,Please Please Please,Sabrina Carpenter,2,2,3,2024-06-29
4,Birds Of A Feather,Billie Eilish,4,3,5,2024-06-29
5,Not Like Us,Kendrick Lamar,7,2,7,2024-06-29
6,Tell Ur Girlfriend,Lay Bankz,6,1,11,2024-06-29
7,Kehlani,Jordan Adetunji,25,7,3,2024-06-29
8,U My Everything,Sexyy Red & Drake,5,2,4,2024-06-29
9,You Look Like You Love Me,Ella Langley Featuring Riley Green,NEW,9,1,2024-06-29
10,Gata Only,FloyyMenor X Cris Mj,8,5,16,2024-06-29
11,Fake Jammin,Sexyy Red,10,10,3,2024-06-29
12,Okay,JT,16,12,5,2024-06-29
13,PORSCHE (Slowed Down),NXY0TAR0,9,9,3,2024-06-29
14,Wildflower,Billie Eilish,13,13,5,2024-06-29
15,Scott Street,Phoebe Bridgers,15,5,9,2024-06-29
16,Not-My-Problem,Laila!,31,16,2,2024-06-29
17,Swimming Pools (Drank) Extended Version,Kendrick Lamar,12,12,5,2024-06-29
18,Si No Quieres No,Luis R Conriquez x Neton Vega,11,9,10,2024-06-29
19,"Me, Myself & I",G-Eazy x Bebe Rexha,14,14,3,2024-06-29
20,Espresso,Sabrina Carpenter,24,17,6,2024-06-29
21,Close,Cayo Featuring soser,20,9,6,2024-06-29
22,Pink Skies,Zach Bryan Featuring Watchouse,30,16,5,2024-06-29
23,Jennifer,Trinidad Cardona,19,19,2,2024-06-29
24,No Contempt,Lelo,NEW,24,1,2024-06-29
25,Shake Dat Ass (Twerk Song),BossMan Dlow,NEW,25,1,2024-06-29
26,A Bar Song (Tipsy),Shaboozey,28,3,9,2024-06-29
27,BAND4BAND,Central Cee & Lil Baby,21,8,4,2024-06-29
28,Take A Slice,Glass Animals,RE-ENTRY,28,3,2024-06-29
29,Get It Sexyy,Sexyy Red,32,5,15,2024-06-29
30,A Summer Place,Hollywood Strings Orchestra,36,30,2,2024-06-29
31,You Got Me Worse,i don't like mirrors,23,23,2,2024-06-29
32,Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti",27,5,6,2024-06-29
33,Talk My Shit,BossMan Dlow,34,5,12,2024-06-29
34,Broccoli,D.R.A.M. Featuring Lil Yachty,NEW,34,1,2024-06-29
35,Wanna Be,GloRilla & Megan Thee Stallion,42,35,3,2024-06-29
36,Sexyy Love Money,Sexyy Red & VonOff1700,40,36,2,2024-06-29
37,Lady Killers II (Christoph Andersson Remix),G-Eazy,35,2,14,2024-06-29
38,No Flex Zone (Remix),Rae Sremmurd,NEW,38,1,2024-06-29
39,Life Letters,Never Get Used To People,NEW,39,1,2024-06-29
40,Looking For The Hoes (Ain't My Fault),Sexyy Red,RE-ENTRY,19,7,2024-06-29
41,Anything,Adrianne Lenker,38,8,12,2024-06-29
42,Fantasmas,HUMBE,26,20,9,2024-06-29
43,Kompa Pasion,frozy,NEW,43,1,2024-06-29
44,I Like The Way You Kiss Me,Artemas,39,2,13,2024-06-29
45,Back It Up And Dump It (Dump Truck),"Kinfolk Thugs, GC Eternal & Tyme Bomb",RE-ENTRY,4,18,2024-06-29
46,I Know You,Faye Webster,NEW,46,1,2024-06-29
47,Rock Your Hips,"310babii, OhGeesy & BlueBucksClan Or & Saweetie",17,6,3,2024-06-29
48,Nights Like This,The Kid LAROI,NEW,48,1,2024-06-29
49,Crazy,Stephen Kramer Glickman Featuring Marza Wilks,44,6,5,2024-06-29
50,Symphonia IX,Current Joys,50,16,7,2024-06-29
1,Million Dollar Baby,Tommy Richman,1,1,9,2024-07-06
2,Nasty,Tinashe,2,2,7,2024-07-06
3,Please Please Please,Sabrina Carpenter,3,2,4,2024-07-06
4,Birds Of A Feather,Billie Eilish,4,3,6,2024-07-06
5,You Look Like You Love Me,Ella Langley Featuring Riley Green,9,5,2,2024-07-06
6,Kehlani,Jordan Adetunji,7,6,4,2024-07-06
7,Not Like Us,Kendrick Lamar,5,2,8,2024-07-06
8,Tell Ur Girlfriend,Lay Bankz,6,1,12,2024-07-06
9,Shake Dat Ass (Twerk Song),BossMan Dlow,25,9,2,2024-07-06
10,Just Know,BlackMayo,NEW,10,1,2024-07-06
11,sniper gonna fuk,sniper2004,NEW,11,1,2024-07-06
12,Gata Only,FloyyMenor X Cris Mj,10,5,17,2024-07-06
13,Si Antes Te Hubiera Conocido,Karol G,NEW,13,1,2024-07-06
14,Yo Bunny,prodbycpkshawn & uglyandz,NEW,14,1,2024-07-06
15,U My Everything,Sexyy Red & Drake,8,2,5,2024-07-06
16,Fake Jammin,Sexyy Red,11,10,4,2024-07-06
17,Work,Iggy Azalea,NEW,17,1,2024-07-06
18,Okay,JT,12,12,6,2024-07-06
19,Not-My-Problem,Laila!,16,16,3,2024-07-06
20,Scott Street,Phoebe Bridgers,15,5,10,2024-07-06
21,It Boy,bbno$,NEW,21,1,2024-07-06
22,Take A Slice,Glass Animals,28,22,4,2024-07-06
23,Kompa Pasion,frozy,43,23,2,2024-07-06
24,Wildflower,Billie Eilish,14,13,6,2024-07-06
25,Close,Cayo Featuring soser,21,9,7,2024-07-06
26,Espresso,Sabrina Carpenter,20,17,7,2024-07-06
27,Swimming Pools (Drank) Extended Version,Kendrick Lamar,17,12,6,2024-07-06
28,Si No Quieres No,Luis R Conriquez x Neton Vega,18,9,11,2024-07-06
29,Pink Skies,Zach Bryan Featuring Watchouse,22,16,6,2024-07-06
30,End Of Beginning,Djo,RE-ENTRY,1,17,2024-07-06
31,Wanna Be,GloRilla & Megan Thee Stallion,35,31,4,2024-07-06
32,Bejeweled,Taylor Swift,RE-ENTRY,25,3,2024-07-06
33,Nights Like This,The Kid LAROI,48,33,2,2024-07-06
34,No Contempt,Lelo,24,24,2,2024-07-06
35,A Bar Song (Tipsy),Shaboozey,26,3,10,2024-07-06
36,Fantasmas,HUMBE,42,20,10,2024-07-06
37,"Me, Myself & I",G-Eazy x Bebe Rexha,19,14,4,2024-07-06
38,"Bundle of Joy (From ""Inside Out"")",Mark Northam,NEW,38,1,2024-07-06
39,Get It Sexyy,Sexyy Red,29,5,16,2024-07-06
40,Looking For The Hoes (Ain't My Fault),Sexyy Red,40,19,8,2024-07-06
41,Coney Island Baby,The Excellents,NEW,41,1,2024-07-06
42,Jennifer,Trinidad Cardona,23,19,3,2024-07-06
43,BAND4BAND,Central Cee & Lil Baby,27,8,5,2024-07-06
44,PORSCHE (Slowed Down),NXY0TAR0,13,9,4,2024-07-06
45,She's Back,Sexyy Red,NEW,45,1,2024-07-06
46,Champagne Coast,Blood Orange,NEW,46,1,2024-07-06
47,Lady Killers II (Christoph Andersson Remix),G-Eazy,37,2,15,2024-07-06
48,Magic Johnson,ian,NEW,48,1,2024-07-06
49,Candy,Doja Cat,NEW,49,1,2024-07-06
50,Devil Is A Lie,Tommy Richman,NEW,50,1,2024-07-06
